Origin,1st,2nd,3rd,Same Sentiment,Detoxicity
" From the valet who is running his ass off to the food and everything in between, this place does it all right","fantastic wings that are crispy and delicious , wing night on tuesday and thursday ",it was truly outstanding ,modest environment with excellent food ,True,True
 It was a monumental fucking embarrassment,"the service was ok , not the best not the worst ",it was ok but not something i would order again ,mens room did n't have any paper towels to dry hands with ,True,True
"  The Manager guy, the guy who looks like a real pussy version of John Leguizamo",not the best dinner they have eaten ,it 's pretty much a crap shoot ,we finished our dumplings ,True,True
and good old rowdy shit,"instead of caramelized onions , they added raw onions ",thats not really a big deal ,this place has gone significantly down hill ,True,True
" Those skinny Scottsdale bitches that hang out at Pink Taco, words of advice",however they ( waitresses ) were nice and apologetic ,it 's spacious and they have outdoor seating and open windows ,first bad experience at this place ,True,True
"  Seems like any time I have a coupon, this guy will literally butt in the middle of the order, give me a ration of shit and do about anything possible not to use it",everyone else at the table hated their food ,do n't waste your time or money at this denny 's ,and not well maintained or managed at all ,True,True
You want a relatively close connection for your flight? Well tough shit,_num_ hour wait and then cold food served ,it was very greasy and had virtually no crab ,it was really embarrassing and every time he came by the conversation died ,True,True
  One of the drunken hicks actually got into a shouting match with one of the morbidly obese toothless tattooed bicker chicks where they argued who was the bitch and who was the pussy,"go to any other pharmacy in town , avoid giant eagle ","if you are going to order something , i would go with the pizza ",it was ok but not something i would order again ,True,True
"Why?Because the last time I went,some piece of shit broke into just about every car in the parking lot to steal whatever they could",the low point lately has been the food ,"the crab cakes were definitely frozen , and not made from blue crab ",i will avoid this one at the waterfront for awhile ,False,True
 What a fucking joke,we got up and walked out and will never be back ,my expectations for mcdonalds are t rarely high ,i ate half the bowl and left the rest for the server ,True,True
"  Who the fuck talks to a customer like that, even at a low rent fast food joint?  Fuck you",_num_ strikes ,"used to go there for tires , brakes , etc ",it was ok  very mediocre ,True,True
' Because even in 1998 I was a food bitch,thanks chef tony ,our service was good and they accommodated our _num_ year old nicely ,its a bit pricey for us but nice once in a while ,True,True
  No one deserves that shit,"there were no complaints with the chicken , the only star of this evening ",strawberry pies being the exception to the rule ,awful place with rude people ,True,True
 Service half ass,"instead , my total was about $ _num_ ",one of my party has still not received his chicken sandwich ,i quickly ate and left to make my movie ,True,True
 Donna is awesome in a take-no-shit-but-still-take-care-of-you kind of way,the manager even helps the elderly and speaks with customers like they are friends ,this little former gas station makes some incredibly delicious pierogies ,great selection of beers especially the seasonal ones ,True,True
 but it wasn't worth waiting 40 fucking minutes to get it,no marinara sauce ,i saw no reason to continue ,so much rudeness -- checking out and trying to find other items ,True,True
" Just because the chicken is good, does not mean you treat people like shit",i ordered chicken tortellini pasta and chicken noodle soup ,i gave up and refused the offer for another ,he then was really rude and never gave us napkins or forks ,True,True
 They take no shit,absolutely the worst care in all my experience with vets ,one of my party has still not received his chicken sandwich ,"after spending over $ _num_ plus games , we will never go back ",True,True
First off I would like to punch the dip Shit on the food network who said this was the best chicken he ever ate,fantastic gem in pittsburgh ,always friendly always clean very consistent ,the food is always so delicious always leave feeling extremely satisfied ,False,True
  Damn it man,will definitely bring my bf here in the future ,this little former gas station makes some incredibly delicious pierogies ,however this place far exceeded my expectations ,True,True
